Cycle no.,95A 1st,Wk1 - 50%,Wk2 - 50%,Wk3 - 50%,Wk1 - 35%,Wk2 - 35%,Wk3 - 35%,Wk4 - 35%,Wk1 - 20%,Wk2 - 20%,Wk3 - 20%,Wk4 - 20%,Unnamed: 13,95A 2nd,Wk1 - 50%.1,Wk2 - 50%.1,Wk3 - 50%.1,Wk4 - 50%,Wk1 - 35%.1,Wk2 - 35%.1,Wk3 - 35%.1,Wk4 - 35%.1,Wk1 - 20%.1,Wk2 - 20%.1,Wk3 - 20%.1,Wk4 - 20%.1,Unnamed: 27,90A 1st,Wk1 - 50%.2,Wk2 - 50%.2,Wk3 - 50%.2,Wk4 - 50%.1,Wk1 - 35%.2,Wk2 - 35%.2,Wk3 - 35%.2,Wk4 - 35%.2,Wk1 - 20%.2,Wk2 - 20%.2,Wk3 - 20%.2,Wk4 - 20%.2,Unnamed: 41,90A 2nd,Wk1 - 50%.3,Wk2 - 50%.3,Wk3 - 50%.3,Wk4 - 50%.2,Wk1 - 35%.3,Wk2 - 35%.3,Wk3 - 35%.3,Wk4 - 35%.3,Wk1 - 20%.3,Wk2 - 20%.3,Wk3 - 20%.3,Wk4 - 20%.3,Unnamed: 55,87A 1st,Wk1 - 50%.4,Wk2 - 50%.4,Wk3 - 50%.4,Wk4 - 50%.3,Wk1 - 35%.4,Wk2 - 35%.4,Wk3 - 35%.4,Wk4 - 35%.4,Wk1 - 20%.4,Wk2 - 20%.4,Wk3 - 20%.4,Wk4 - 20%.4,Unnamed: 69,87A 2nd,Wk1 - 50%.5,Wk2 - 50%.5,Wk3 - 50%.5,Wk4 - 50%.4,Wk1 - 35%.5,Wk2 - 35%.5,Wk3 - 35%.5,Wk4 - 35%.5,Wk1 - 20%.5,Wk2 - 20%.5,Wk3 - 20%.5,Wk4 - 20%.5
1000,,,,,29.93858268,26.81023622,29.87322835,30.49133858,24.90511811,25.16259843,26.96692913,27.21968504,,,33.84330709,,,,26.79370079,27.79685039,,,25.75944882,26.37716535,,,,,26.38818898,26.46062992,24.9511811,,25.2476378,24.96653543,24.30393701,,23.99527559,23.67401575,22.18070866,,,,25.02598425,26.94094488,,,24.24488189,24.11732283,,,23.35748031,23.79606299,,,,,24.53661417,23.87322835,21.99370079,,23.82283465,,22.33937008,,22.41614173,,20.14330709,,,,25.83149606,24.32992126,24.6988189,,24.62204724,23.24330709,23.10275591,,23.11259843,21.86220472,23.65866142,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temp,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Temp not taken at a consistent point due to thermal camera moving, tried to take the temp from a point in the centre of the sample which looks through to the inside of the gyroid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wk1,Mean temp change,Peak Temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95A - 50%,6.75,33.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95A - 35%,9.76,29.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95A - 20%,5.81,27.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
